ID_SISTEMA,Universidad,Facultad,Título,Tipo,Duración,Ingreso,Domicilio,Teléfono,Web,Mail,Tipo_Gestion,RIASEC_Codes,Disciplina_Principal,Provincia
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado/a en Arte Interactivo,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASEC|RIACSE|RIASCE|RIACSE|RISEAC|RISECA,Arte Interactivo,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado/a en Piano y Música de Cámara,Grado,4 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASCE|RIACSE|RIASEC|RIACSE|RISEAC|RISECA,Piano Y Música De Cámara,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado en Composición,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIACSE|RIASEC|RIASCE|RIACSE|RISEAC|RISECA,Composición,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado en Dirección Orquestal,Grado,5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASEC|RIACSE|RIASCE|RIACSE|RISEAC|RISECA,Dirección Orquestal,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado en Música Cinematográfica,Grado,5 Años,Consulte con la Institución,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIACSE|RIASEC|RIASCE|RIACSE|RISEAC|RISECA,Música Cinematográfica,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado en Música Popular,Grado,5 Años,Consulte con la Institución,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASEC|RIACSE|RIASCE|RIACSE|RISEAC|RISECA,Música Popular,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Licenciado en Piano,Grado,5 Años,Consulte con la Institución,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASCE|RIACSE|RIASEC|RIACSE|RISEAC|RISECA,Piano,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Técnico/a Universitario/a en Composición y Arreglos de Música Popular,Título Intermedio,2.5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIACSE|RIASEC|RIASCE|RIACSE|RISEAC|RISECA,Técnico/A Universitario/A En Composición Y Arreglos De Música Popular,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Técnico/a Universitario/a en Dirección Musical de Conjuntos Instrumentales,Título Intermedio,2.5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASEC|RIACSE|RIASCE|RIACSE|RISEAC|RISECA,Técnico/A Universitario/A En Dirección Músical De Conjuntos Instrumentales,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
32,Pontificia Universidad Católica Argentina Santa María de los Buenos Aires,Facultad de Artes y Ciencias Musicales,Técnico/a Universitario/a en Música y Tecnología,Título Intermedio,2.5 Años,Asistencia y Aprobación a Curso de Ingreso o Nivelación,Av. Alicia Moreau de Justo 1500 - Ciudad Autonoma de Buenos Aires - Ciudad Autonoma de Buenos Aires,(011) 08102200822,www.uca.edu.ar,ingreso@uca.edu.ar,Privada,RIASCE|RIACSE|RIASEC|RIACSE|RISEAC|RISECA,Técnico/A Universitario/A En Música Y Tecnología,"Ciudad Autonoma de Buenos Aires, Ciudad Autonoma de Buenos Aires"
